source,target,value
Více technických staveb na toku,KES Duševní a fyzické zdraví,3
Více technických staveb na toku,KES Ekofilie,7
Více technických staveb na toku,KES Estetika,8
Více technických staveb na toku,KES Existenční hodnota,19
Více technických staveb na toku,KES Hodnota odkazu,13
Více technických staveb na toku,KES Identita,1
Více technických staveb na toku,KES Rekreace,1
Více technických staveb na toku,KES Smysl pro místo,3
Více technických staveb na toku,KES Vzdělávání,1
Více zástavby v záplavovém území,KES Duchovní hodnota,1
Více zástavby v záplavovém území,KES Duševní a fyzické zdraví,14
Více zástavby v záplavovém území,KES Ekofilie,7
Více zástavby v záplavovém území,KES Estetika,8
Více zástavby v záplavovém území,KES Existenční hodnota,26
Více zástavby v záplavovém území,KES Hodnota odkazu,24
Více zástavby v záplavovém území,KES Identita,3
Více zástavby v záplavovém území,KES Rekreace,2
Více zástavby v záplavovém území,KES Smysl pro místo,5
Více zástavby v záplavovém území,KES Vzdělávání,1
Vysazování ryb,KES Duševní a fyzické zdraví,1
Vysazování ryb,KES Estetika,1
Vysazování ryb,KES Existenční hodnota,4
Vysazování ryb,KES Rekreace,1
Zanášení (sedimentace) toku řeky,KES Duchovní hodnota,1
Zanášení (sedimentace) toku řeky,KES Ekofilie,7
Zanášení (sedimentace) toku řeky,KES Estetika,5
Zanášení (sedimentace) toku řeky,KES Existenční hodnota,4
Zanášení (sedimentace) toku řeky,KES Hodnota odkazu,13
Zanášení (sedimentace) toku řeky,KES Identita,5
Zanášení (sedimentace) toku řeky,KES Smysl pro místo,6
